technology,capacity_type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,location
heat_pump,power,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,3.6319,3.3935,2.8506,DE
photovoltaics,power,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,64.213,69.0344,71.6458,74.9409,74.5796,76.5693,DE
wind_offshore,power,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776,7.6751,7.6751,7.6701,DE
wind_onshore,power,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,39.5467,36.905,35.1662,33.9313,DE
heat_pump,power,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,1.7524,1.5441,1.1674,CH
photovoltaics,power,20.7625,20.7625,20.7625,20.7625,20.7625,21.2385,23.4378,23.4641,27.384,27.3835,36.8278,38.1852,CH
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
wind_onshore,power,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0872,0.0834,0.0834,0.0834,0.0814,CH
heat_pump,power,126.8707,126.8707,122.499,118.4157,125.3614,138.5036,149.2516,161.4872,176.7673,205.3326,232.2601,257.9949,ROE
photovoltaics,power,252.1997,252.1997,252.1997,264.8894,291.0598,314.2837,327.5116,333.1843,349.5057,350.3226,352.2116,354.3318,ROE
wind_offshore,power,18.3219,18.3219,18.3219,18.3219,18.2819,18.1219,17.8485,17.7633,17.6733,17.5833,17.3753,17.1449,ROE
wind_onshore,power,285.4424,285.0784,284.5308,283.048,281.9452,299.1816,320.4977,348.0216,380.099,419.2164,463.3754,497.9555,ROE
