technology,capacity_type,location,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
heat_pump,power,DE,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319
photovoltaics,power,DE,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0513,62.7219
wind_offshore,power,DE,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776
wind_onshore,power,DE,55.7988,55.5324,55.091,53.8138,52.3308,49.567,46.6288,43.5796,41.5299,39.5467
heat_pump,power,CH,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683
photovoltaics,power,CH,20.4725,20.4725,20.4725,20.4725,20.4725,20.4725,20.4725,20.4725,25.376,25.7651
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CH,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0872,0.0834
heat_pump,power,ROE,142.4118,142.4118,142.4118,137.2764,130.5774,123.5014,124.7886,121.4391,119.8831,113.6495
photovoltaics,power,ROE,242.8171,246.7138,246.7138,246.7138,255.3268,274.2682,314.071,333.8942,347.474,368.1767
wind_offshore,power,ROE,18.3219,18.3219,18.3219,18.3219,18.3219,18.2819,18.1219,17.8485,17.7633,17.6733
wind_onshore,power,ROE,259.6508,259.2836,258.9195,258.372,256.8831,255.3719,259.5832,265.4897,289.6714,323.0117
