edge,node_from,node_to
CHE-CHN,CHE,CHN
CHE-DEU,CHE,DEU
CHE-IND,CHE,IND
CHE-KOR,CHE,KOR
CHE-MYS,CHE,MYS
CHE-ROA,CHE,ROA
CHE-ROE,CHE,ROE
CHE-ROW,CHE,ROW
CHE-THA,CHE,THA
CHE-USA,CHE,USA
CHE-VNM,CHE,VNM
CHN-CHE,CHN,CHE
CHN-DEU,CHN,DEU
CHN-IND,CHN,IND
CHN-KOR,CHN,KOR
CHN-MYS,CHN,MYS
CHN-ROA,CHN,ROA
CHN-ROE,CHN,ROE
CHN-ROW,CHN,ROW
CHN-THA,CHN,THA
CHN-USA,CHN,USA
CHN-VNM,CHN,VNM
DEU-CHE,DEU,CHE
DEU-CHN,DEU,CHN
DEU-IND,DEU,IND
DEU-KOR,DEU,KOR
DEU-MYS,DEU,MYS
DEU-ROA,DEU,ROA
DEU-ROE,DEU,ROE
DEU-ROW,DEU,ROW
DEU-THA,DEU,THA
DEU-USA,DEU,USA
DEU-VNM,DEU,VNM
IND-CHE,IND,CHE
IND-CHN,IND,CHN
IND-DEU,IND,DEU
IND-KOR,IND,KOR
IND-MYS,IND,MYS
IND-ROA,IND,ROA
IND-ROE,IND,ROE
IND-ROW,IND,ROW
IND-THA,IND,THA
IND-USA,IND,USA
IND-VNM,IND,VNM
KOR-CHE,KOR,CHE
KOR-CHN,KOR,CHN
KOR-DEU,KOR,DEU
KOR-IND,KOR,IND
KOR-MYS,KOR,MYS
KOR-ROA,KOR,ROA
KOR-ROE,KOR,ROE
KOR-ROW,KOR,ROW
KOR-THA,KOR,THA
KOR-USA,KOR,USA
KOR-VNM,KOR,VNM
MYS-CHE,MYS,CHE
MYS-CHN,MYS,CHN
MYS-DEU,MYS,DEU
MYS-IND,MYS,IND
MYS-KOR,MYS,KOR
MYS-ROA,MYS,ROA
MYS-ROE,MYS,ROE
MYS-ROW,MYS,ROW
MYS-THA,MYS,THA
MYS-USA,MYS,USA
MYS-VNM,MYS,VNM
ROA-CHE,ROA,CHE
ROA-CHN,ROA,CHN
ROA-DEU,ROA,DEU
ROA-IND,ROA,IND
ROA-KOR,ROA,KOR
ROA-MYS,ROA,MYS
ROA-ROE,ROA,ROE
ROA-ROW,ROA,ROW
ROA-THA,ROA,THA
ROA-USA,ROA,USA
ROA-VNM,ROA,VNM
ROE-CHE,ROE,CHE
ROE-CHN,ROE,CHN
ROE-DEU,ROE,DEU
ROE-IND,ROE,IND
ROE-KOR,ROE,KOR
ROE-MYS,ROE,MYS
ROE-ROA,ROE,ROA
ROE-ROW,ROE,ROW
ROE-THA,ROE,THA
ROE-USA,ROE,USA
ROE-VNM,ROE,VNM
ROW-CHE,ROW,CHE
ROW-CHN,ROW,CHN
ROW-DEU,ROW,DEU
ROW-IND,ROW,IND
ROW-KOR,ROW,KOR
ROW-MYS,ROW,MYS
ROW-ROA,ROW,ROA
ROW-ROE,ROW,ROE
ROW-THA,ROW,THA
ROW-USA,ROW,USA
ROW-VNM,ROW,VNM
THA-CHE,THA,CHE
THA-CHN,THA,CHN
THA-DEU,THA,DEU
THA-IND,THA,IND
THA-KOR,THA,KOR
THA-MYS,THA,MYS
THA-ROA,THA,ROA
THA-ROE,THA,ROE
THA-ROW,THA,ROW
THA-USA,THA,USA
THA-VNM,THA,VNM
USA-CHE,USA,CHE
USA-CHN,USA,CHN
USA-DEU,USA,DEU
USA-IND,USA,IND
USA-KOR,USA,KOR
USA-MYS,USA,MYS
USA-ROA,USA,ROA
USA-ROE,USA,ROE
USA-ROW,USA,ROW
USA-THA,USA,THA
USA-VNM,USA,VNM
VNM-CHE,VNM,CHE
VNM-CHN,VNM,CHN
VNM-DEU,VNM,DEU
VNM-IND,VNM,IND
VNM-KOR,VNM,KOR
VNM-MYS,VNM,MYS
VNM-ROA,VNM,ROA
VNM-ROE,VNM,ROE
VNM-ROW,VNM,ROW
VNM-THA,VNM,THA
VNM-USA,VNM,USA
