node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,61181.35,54393.92,39134.13,66688.23,52701.84,38899.6,28237.27,20300.34,15174.66,15777.99
CHN,40290.16,28177.31,15946.83,21376.52,13288.72,7715.634,4405.737,2491.544,1465.053,1523.303
DEU,61181.35,54393.92,39134.13,66688.23,52701.84,38899.6,28237.27,20300.34,15174.66,15777.99
IND,44020.73,35060.34,22596.91,34496.12,24421.62,16148.1,10500.9,6762.928,4528.746,4708.806
KOR,61181.35,48727.93,31405.88,47943.75,33941.91,22443.12,14594.47,9399.323,6294.189,6544.442
MYS,43274.61,34466.1,22213.91,33911.44,24007.69,15874.4,10322.92,6648.302,4451.988,4628.995
ROA,61181.35,48727.93,31405.88,47943.75,33941.91,22443.12,14594.47,9399.323,6294.189,6544.442
ROE,61181.35,54393.92,39134.13,66688.23,52701.84,38899.6,28237.27,20300.34,15174.66,15777.99
ROW,61181.35,54393.92,39134.13,66688.23,52701.84,38899.6,28237.27,20300.34,15174.66,15777.99
THA,43274.61,34466.1,22213.91,33911.44,24007.69,15874.4,10322.92,6648.302,4451.988,4628.995
USA,60435.23,48133.69,31022.88,47359.07,33527.98,22169.42,14416.49,9284.698,6217.431,6464.631
VNM,43274.61,34466.1,22213.91,33911.44,24007.69,15874.4,10322.92,6648.302,4451.988,4628.995265

