edge,carbon_intensity_technology
CHE-CHN,21848.100848474098
CHE-DEU,1639.49473328864
CHE-IND,20384.149197558984
CHE-KOR,24827.426681958688
CHE-MYS,29458.126272142474
CHE-ROA,28398.300638850223
CHE-ROE,3075.4513178414385
CHE-ROW,14067.346133942368
CHE-THA,26156.176490200463
CHE-USA,18615.31427274658
CHE-VNM,28582.41101989425
CHN-CHE,21848.100848474098
CHN-DEU,22455.79018404601
CHN-IND,9432.674081141396
CHN-KOR,2819.851322556646
CHN-MYS,11899.028032100997
CHN-ROA,12385.799402893499
CHN-ROE,21091.194135888717
CHN-ROW,25295.337654255605
CHN-THA,4674.350825014079
CHN-USA,31381.946143108187
CHN-VNM,3134.358895040242
DEU-CHE,1639.49473328864
DEU-CHN,22455.79018404601
DEU-IND,18190.34384024178
DEU-KOR,24768.466375344934
DEU-MYS,29615.68427679185
DEU-ROA,25381.773229023746
DEU-ROE,2339.3844610810766
DEU-ROW,8143.684116190416
DEU-THA,23389.64419987064
DEU-USA,19375.90313216377
DEU-VNM,25967.87137505758
IND-CHE,20384.149197558984
IND-CHN,9432.674081141396
IND-DEU,18190.34384024178
IND-KOR,11579.054366288325
IND-MYS,5393.882243694487
IND-ROA,3790.424140851376
IND-ROE,9403.420754550958
IND-ROW,8609.682521071095
IND-THA,3242.426487543903
IND-USA,34434.79358966985
IND-VNM,7632.00554809775
KOR-CHE,24827.426681958688
KOR-CHN,2819.851322556646
KOR-DEU,24768.466375344934
KOR-IND,11579.054366288325
KOR-MYS,13236.198136264276
KOR-ROA,13835.476986165474
KOR-ROE,25792.678813084757
KOR-ROW,30496.352472794765
KOR-THA,4437.239113232778
KOR-USA,31559.218134648854
KOR-VNM,3894.333777351297
MYS-CHE,29458.126272142474
MYS-CHN,11899.028032100997
MYS-DEU,29615.68427679185
MYS-IND,5393.882243694487
MYS-KOR,13236.198136264276
MYS-ROA,4005.642316424956
MYS-ROE,28175.87369603775
MYS-ROW,29986.922422622282
MYS-THA,2767.3126747436136
MYS-USA,37229.29808927892
MYS-VNM,3309.6396308349145
ROA-CHE,28398.300638850223
ROA-CHN,12385.799402893499
ROA-DEU,25381.773229023746
ROA-IND,3790.424140851376
ROA-KOR,13835.476986165474
ROA-MYS,4005.642316424956
ROA-ROE,26960.087762309095
ROA-ROW,23298.24028573258
ROA-THA,4607.118985876741
ROA-USA,32624.866104374196
ROA-VNM,7915.349104334207
ROE-CHE,3075.4513178414385
ROE-CHN,21091.194135888717
ROE-DEU,2339.3844610810766
ROE-IND,9403.420754550958
ROE-KOR,12734.300278108349
ROE-MYS,28175.87369603775
ROE-ROA,26960.087762309095
ROE-ROW,20762.36656728615
ROE-THA,21694.48570661298
ROE-USA,9103.895881443264
ROE-VNM,24589.264858408183
ROW-CHE,14067.346133942368
ROW-CHN,25295.337654255605
ROW-DEU,8143.684116190416
ROW-IND,8609.682521071095
ROW-KOR,30496.352472794765
ROW-MYS,29986.922422622282
ROW-ROA,23298.24028573258
ROW-ROE,20762.36656728615
ROW-THA,30279.65425981114
ROW-USA,26778.82299253834
ROW-VNM,23226.610476052894
THA-CHE,26156.176490200463
THA-CHN,4674.350825014079
THA-DEU,23389.64419987064
THA-IND,3242.426487543903
THA-KOR,4437.239113232778
THA-MYS,2767.3126747436136
THA-ROA,4607.118985876741
THA-ROE,21694.48570661298
THA-ROW,30279.65425981114
THA-USA,38492.258961341365
THA-VNM,4139.498614764354
USA-CHE,18615.31427274658
USA-CHN,31381.946143108187
USA-DEU,19375.90313216377
USA-IND,34434.79358966985
USA-KOR,31559.218134648854
USA-MYS,37229.29808927892
USA-ROA,32624.866104374196
USA-ROE,9103.895881443264
USA-ROW,26778.82299253834
USA-THA,38492.258961341365
USA-VNM,33982.987226395076
VNM-CHE,28582.41101989425
VNM-CHN,3134.358895040242
VNM-DEU,25967.87137505758
VNM-IND,7632.00554809775
VNM-KOR,7737.082870894966
VNM-MYS,3309.6396308349145
VNM-ROA,7915.349104334207
VNM-ROE,24589.264858408183
VNM-ROW,23226.610476052894
VNM-THA,4139.498614764354
VNM-USA,33982.987226395076
